"","filename","type","mood","do","sbj_type","adj","infl","k-class","clause_ID","year","author","wgr","large_region","lcinf","lclet","class"
"1","1_1_f1540","aff","decl","be","1sg","adj","no-infl","other",0.2,"1543","KatherineBellenden","female","South-East","Lothian","Edinburgh","unspecified"
"2","1_1_f1540","aff","decl","no","NP","adj","infl","other",0.2,"1543","KatherineBellenden","female","South-East","Lothian","Edinburgh","unspecified"
"4","1_1_f1540","aff","decl","be","NP","no-adj","no-infl","other",0.2,"1543","KatherineBellenden","female","South-East","Lothian","Edinburgh","unspecified"
"6","1_1_f1540","aff","decl","hv","NP","no-adj","infl","other",0.3,"1543","KatherineBellenden","female","South-East","Lothian","Edinburgh","unspecified"
"8","1_1_f1540","aff","decl","hv","pl","adj","no-infl","other",0.4,"1543","KatherineBellenden","female","South-East","Lothian","Edinburgh","unspecified"
"13","1_1_f1540","aff","decl","hv","1sg","adj","no-infl","other",0.4,"1543","KatherineBellenden","female","South-East","Lothian","Edinburgh","unspecified"
"14","1_1_f1540","aff","decl","no","1sg","adj","no-infl","other",0.4,"1543","KatherineBellenden","female","South-East","Lothian","Edinburgh","unspecified"
"20","1_1_f1540","neg","decl","hv","pl","adj","no-infl","other",0.5,"1543","KatherineBellenden","female","South-East","Lothian","Edinburgh","unspecified"
"22","1_1_f1540","aff","decl","be","pl","adj","no-infl","other",0.6,"1543","KatherineBellenden","female","South-East","Lothian","Edinburgh","unspecified"
"23","1_1_f1540","aff","decl","hv","NP","adj","infl","other",0.6,"1543","KatherineBellenden","female","South-East","Lothian","Edinburgh","unspecified"
"29","1_1_f1540","aff","decl","be","_","no-adj","infl","other",0.7,"1543","KatherineBellenden","female","South-East","Lothian","Edinburgh","unspecified"
"33","1_1_f1540","aff","decl","no","NP","adj","no-infl","other",0.8,"1543","KatherineBellenden","female","South-East","Lothian","Edinburgh","unspecified"
"35","1_1_f1540","aff","decl","no","pl","adj","no-infl","k-class",0.9,"1543","KatherineBellenden","female","South-East","Lothian","Edinburgh","unspecified"
"38","1_1_f1540","aff","decl","hv","NP","no-adj","infl","other",0.9,"1543","KatherineBellenden","female","South-East","Lothian","Edinburgh","unspecified"
"40","1_1_f1540","aff","decl","be","pl","adj","no-infl","other",0.9,"1543","KatherineBellenden","female","South-East","Lothian","Edinburgh","unspecified"
"45","1_1_f1540","aff","decl","no","NP","adj","infl","other",0.1,"1543","KatherineBellenden","female","South-East","Lothian","Edinburgh","unspecified"
"48","1_1_f1540","aff","decl","no","NP","adj","no-infl","other",0.11,"1543","KatherineBellenden","female","South-East","Lothian","Edinburgh","unspecified"
"53","100_82_f1600","aff","decl","no","NP","adj","no-infl","other",0.2,"1640","IsobelMcIntosh","female","Unlocalised","unlocalised","Moy","unspecified"
"55","100_82_f1600","aff","decl","be","1sg","adj","no-infl","other",0.2,"1640","IsobelMcIntosh","female","Unlocalised","unlocalised","Moy","unspecified"
"57","100_82_f1600","aff","decl","be","conNSR","no-adj","no-infl","other",0.2,"1640","IsobelMcIntosh","female","Unlocalised","unlocalised","Moy","unspecified"
"58","100_82_f1600","aff","decl","no","1sg","adj","no-infl","other",0.2,"1640","IsobelMcIntosh","female","Unlocalised","unlocalised","Moy","unspecified"
"60","100_82_f1600","aff","decl","be","3sg","adj","infl","other",0.3,"1640","IsobelMcIntosh","female","Unlocalised","unlocalised","Moy","unspecified"
"70","100_82_f1600","neg","decl","yes","NP","adj","infl","other",0.5,"1640","IsobelMcIntosh","female","Unlocalised","unlocalised","Moy","unspecified"
"71","100_82_f1600","aff","decl","no","1sg","adj","no-infl","other",0.5,"1640","IsobelMcIntosh","female","Unlocalised","unlocalised","Moy","unspecified"
"72","100_82_f1600","aff","decl","no","1sg","adj","no-infl","other",0.5,"1640","IsobelMcIntosh","female","Unlocalised","unlocalised","Moy","unspecified"
"75","100_82_f1600","neg","decl","be","1sg","adj","no-infl","other",0.5,"1640","IsobelMcIntosh","female","Unlocalised","unlocalised","Moy","unspecified"
"77","100_82_f1600","aff","decl","no","1sg","adj","no-infl","other",0.5,"1640","IsobelMcIntosh","female","Unlocalised","unlocalised","Moy","unspecified"
"80","100_82_f1600","aff","decl","no","1sg","adj","no-infl","other",0.7,"1640","IsobelMcIntosh","female","Unlocalised","unlocalised","Moy","unspecified"
"93","101_83_f1600","aff","decl","hv","1sg","adj","no-infl","other",0.6,"1620","GricellMenzies,LadyGrandtully","female","Central","Perthshire","Grandtully","unspecified"
"103","101_83_f1600","aff","decl","be","NP","adj","no-infl","other",0.7,"1620","GricellMenzies,LadyGrandtully","female","Central","Perthshire","Grandtully","unspecified"
"107","101_83_f1600","aff","decl","be","1sg","adj","no-infl","other",0.9,"1620","GricellMenzies,LadyGrandtully","female","Central","Perthshire","Grandtully","unspecified"
"109","101_83_f1600","aff","decl","be","conNSR","no-adj","infl","other",0.1,"1620","GricellMenzies,LadyGrandtully","female","Central","Perthshire","Grandtully","unspecified"
"113","101_83_f1600","aff","decl","no","1sg","adj","no-infl","other",0.14,"1620","GricellMenzies,LadyGrandtully","female","Central","Perthshire","Grandtully","unspecified"
"115","101_83_f1600","aff","decl","no","1sg","adj","no-infl","k-class",0.14,"1620","GricellMenzies,LadyGrandtully","female","Central","Perthshire","Grandtully","unspecified"
"120","102_84_f1600","aff","decl","no","1sg","adj","no-infl","other",0.3,"1612","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"121","102_84_f1600","aff","decl","hv","2p","adj","no-infl","other",0.3,"1612","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"122","102_84_f1600","aff","decl","hv","2p","adj","no-infl","other",0.3,"1612","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"125","102_84_f1600","aff","decl","no","1sg","adj","no-infl","other",0.4,"1612","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"127","102_84_f1600","neg","decl","hv","2p","adj","no-infl","other",0.4,"1612","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"129","102_84_f1600","aff","decl","no","NP","adj","no-infl","other",0.4,"1612","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"131","102_84_f1600","aff","decl","be","NP","adj","infl","other",0.5,"1612","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"133","102_84_f1600","aff","decl","no","1sg","adj","no-infl","k-class",0.6,"1612","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"134","102_84_f1600","aff","decl","hv","plNP","adj","infl","other",0.6,"1612","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"135","102_84_f1600","neg","decl","be","plNP","adj","no-infl","other",0.6,"1612","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"142","102_84_f1600","aff","decl","be","pl","adj","no-infl","other",0.9,"1612","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"147","102_84_f1600","aff","decl","be","NP","adj","infl","other",0.11,"1612","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"149","102_84_f1600","aff","decl","be","NP","adj","infl","other",0.11,"1612","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"152","102_84_f1600","aff","decl","be","NP","no-adj","infl","other",0.11,"1612","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"154","102_84_f1600","aff","decl","no","NP","no-adj","infl","k-class",0.11,"1612","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"155","102_84_f1600","aff","decl","hv","1sg","adj","no-infl","other",0.12,"1612","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"159","102_84_f1600","neg","decl","hv","pl","adj","no-infl","other",0.14,"1612","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"160","102_84_f1600","aff","decl","hv","conNSR","no-adj","infl","other",0.15,"1612","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"163","102_84_f1600","aff","decl","hv","NP","adj","infl","other",0.16,"1612","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"170","102_84_f1600","aff","decl","no","1sg","adj","no-infl","other",0.19,"1612","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"171","102_84_f1600","aff","decl","be","3sg","adj","infl","other",0.19,"1612","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"172","102_84_f1600","aff","decl","no","1sg","adj","no-infl","k-class",0.2,"1612","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"174","102_84_f1600","aff","decl","hv","NP","adj","infl","other",0.2,"1612","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"176","102_84_f1600","aff","decl","be","3sg","adj","infl","other",0.21,"1612","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"184","102_84_f1600","aff","decl","no","3sg","adj","infl","other",0.23,"1612","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"187","102_84_f1600","aff","decl","hv","conNO","no-adj","infl","other",0.23,"1612","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"188","102_84_f1600","neg","decl","be","3sg","adj","infl","other",0.24,"1612","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"189","102_84_f1600","aff","decl","be","conNO","no-adj","infl","other",0.25,"1612","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"192","102_84_f1600","aff","decl","be","plNP","adj","no-infl","other",0.27,"1612","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"201","103_85_f1600","aff","decl","be","pl","weak-adj","no-infl","other",0.4,"1615","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"204","103_85_f1600","aff","decl","be","NP","no-adj","infl","other",0.5,"1615","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"209","103_85_f1600","aff","decl","no","1sg","adj","no-infl","other",0.6,"1615","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"210","103_85_f1600","aff","decl","no","NP","no-adj","no-infl","other",0.6,"1615","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"211","103_85_f1600","neg","decl","be","3sg","adj","infl","other",0.7,"1615","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"212","103_85_f1600","aff","decl","no","NP","adj","infl","other",0.8,"1615","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"213","103_85_f1600","aff","decl","be","3sg","adj","infl","other",0.8,"1615","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"214","103_85_f1600","aff","decl","hv","pl","adj","no-infl","other",0.9,"1615","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"216","103_85_f1600","aff","decl","no","1sg","adj","no-infl","other",0.11,"1615","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"218","103_85_f1600","aff","decl","no","plNP","adj","infl","other",0.13,"1615","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"223","104_86_f1600","aff","decl","hv","NP","no-adj","infl","other",0.3,"1615","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"224","104_86_f1600","aff","decl","no","conNO","no-adj","infl","other",0.4,"1615","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"230","104_86_f1600","aff","decl","no","1sg","adj","no-infl","k-class",0.4,"1615","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"232","104_86_f1600","aff","decl","be","3sg","adj","no-infl","other",0.4,"1615","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"233","104_86_f1600","aff","decl","no","3sg","adj","infl","other",0.4,"1615","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"239","104_86_f1600","aff","decl","no","1sg","adj","no-infl","k-class",0.5,"1615","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"240","104_86_f1600","aff","decl","be","3sg","adj","no-infl","other",0.5,"1615","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"241","104_86_f1600","aff","decl","hv","NP","no-adj","infl","other",0.5,"1615","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"246","104_86_f1600","aff","decl","hv","3sg","adj","infl","other",0.5,"1615","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"249","104_86_f1600","aff","decl","no","2p","adj","no-infl","other",0.6,"1615","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"259","104_86_f1600","aff","decl","hv","NP","adj","infl","other",0.7,"1615","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"263","104_86_f1600","aff","decl","be","NP","adj","no-infl","other",0.7,"1615","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"267","104_86_f1600","aff","decl","no","3sg","adj","no-infl","other",0.8,"1615","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"273","104_86_f1600","aff","decl","no","2p","adj","no-infl","other",0.1,"1615","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"275","104_86_f1600","aff","decl","be","NP","adj","no-infl","other",0.11,"1615","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"280","104_86_f1600","aff","decl","be","NP","no-adj","infl","other",0.12,"1615","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"281","104_86_f1600","aff","decl","no","NP","adj","infl","other",0.12,"1615","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"282","104_86_f1600","aff","decl","no","1sg","adj","no-infl","k-class",0.13,"1615","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"286","104_86_f1600","aff","decl","no","3sg","adj","infl","other",0.13,"1615","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"289","104_86_f1600","aff","decl","no","conNSR","no-adj","infl","other",0.15,"1615","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"290","104_86_f1600","aff","decl","be","NP","no-adj","infl","other",0.17,"1615","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"291","104_86_f1600","aff","decl","hv","conNO","no-adj","infl","other",0.18,"1615","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"300","105_87_f1600","aff","decl","no","1sg","adj","no-infl","other",0.3,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"307","105_87_f1600","aff","decl","hv","plNP","weak-adj","infl","other",0.5,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"313","105_87_f1600","aff","decl","no","1sg","adj","no-infl","k-class",0.7,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"316","105_87_f1600","aff","decl","no","1sg","adj","no-infl","k-class",0.8,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"319","105_87_f1600","aff","decl","no","3sg","adj","no-infl","other",0.8,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"320","105_87_f1600","aff","decl","hv","pl","adj","no-infl","other",0.9,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"321","105_87_f1600","aff","decl","be","NP","no-adj","infl","other",0.9,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"328","105_87_f1600","aff","decl","hv","NP","no-adj","infl","other",0.15,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"330","105_87_f1600","aff","decl","no","1sg","adj","no-infl","other",0.16,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"332","105_87_f1600","aff","decl","be","3sg","adj","infl","other",0.16,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"345","106_88_f1600","aff","decl","be","1sg","adj","no-infl","other",0.4,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"346","106_88_f1600","aff","decl","hv","2p","adj","no-infl","other",0.4,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"349","106_88_f1600","aff","decl","hv","2p","adj","no-infl","other",0.5,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"353","106_88_f1600","aff","decl","be","NP","adj","infl","other",0.7,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"358","106_88_f1600","aff","decl","hv","2p","adj","no-infl","other",0.1,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"366","106_88_f1600","aff","decl","no","1sg","adj","no-infl","k-class",0.12,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"369","106_88_f1600","aff","decl","no","NP","no-adj","infl","k-class",0.12,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"371","106_88_f1600","aff","decl","be","3sg","adj","infl","other",0.13,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"372","106_88_f1600","aff","decl","be","1sg","adj","no-infl","other",0.13,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"374","106_88_f1600","aff","decl","hv","conNO","no-adj","infl","other",0.14,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"384","106_88_f1600","aff","decl","be","NP","adj","infl","other",0.2,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"385","106_88_f1600","aff","decl","be","NP","no-adj","infl","other",0.21,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"386","106_88_f1600","aff","decl","hv","conNO","no-adj","infl","other",0.22,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"389","107_89_f1600","aff","decl","no","1sg","adj","no-infl","other",0.2,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"390","107_89_f1600","aff","decl","be","1sg","adj","no-infl","other",0.2,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"391","107_89_f1600","aff","decl","be","pl","adj","no-infl","other",0.3,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"395","107_89_f1600","aff","decl","be","NP","no-adj","infl","other",0.5,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"396","107_89_f1600","aff","decl","be","conNO","no-adj","infl","other",0.6,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"398","107_89_f1600","aff","decl","no","conNSR","no-adj","infl","other",0.8,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"400","107_89_f1600","aff","decl","hv","2p","adj","no-infl","other",0.9,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"404","107_89_f1600","aff","decl","hv","2p","adj","no-infl","other",0.1,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"421","107_89_f1600","aff","decl","no","2p","adj","no-infl","other",0.14,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"427","107_89_f1600","aff","decl","no","pl","adj","no-infl","other",0.19,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"428","107_89_f1600","aff","decl","be","NP","adj","infl","other",0.19,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"435","107_89_f1600","aff","decl","hv","NP","no-adj","infl","other",0.21,"1618","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"442","108_90_f1600","aff","decl","be","1sg","adj","no-infl","other",0.3,"1620","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"448","108_90_f1600","aff","decl","no","2p","adj","no-infl","k-class",0.4,"1620","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"458","108_90_f1600","aff","decl","hv","3sg","adj","infl","other",0.8,"1620","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"461","108_90_f1600","aff","decl","no","NP","adj","infl","other",0.1,"1620","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"462","108_90_f1600","aff","decl","no","NP","adj","infl","other",0.11,"1620","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"463","108_90_f1600","aff","decl","be","plNP","weak-adj","no-infl","other",0.12,"1620","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"464","108_90_f1600","aff","decl","hv","conNO","no-adj","infl","other",0.13,"1620","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"466","108_90_f1600","aff","decl","be","NP","no-adj","no-infl","other",0.14,"1620","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"469","108_90_f1600","aff","decl","hv","1sg","adj","no-infl","other",0.15,"1620","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"473","108_90_f1600","aff","decl","be","NP","adj","infl","other",0.17,"1620","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"481","108_90_f1600","aff","decl","be","NP","no-adj","infl","other",0.2,"1620","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"482","108_90_f1600","aff","decl","hv","conNO","no-adj","infl","other",0.21,"1620","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"489","109_91_f1600","aff","decl","hv","1sg","adj","no-infl","other",0.2,"1620","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"495","109_91_f1600","aff","decl","be","plNP","no-adj","no-infl","other",0.2,"1620","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"500","109_91_f1600","aff","decl","no","1sg","adj","no-infl","k-class",0.4,"1620","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"502","109_91_f1600","aff","decl","no","NP","adj","infl","other",0.4,"1620","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"505","109_91_f1600","aff","decl","no","2p","adj","no-infl","other",0.5,"1620","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"509","109_91_f1600","aff","decl","no","2p","adj","no-infl","k-class",0.5,"1620","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"511","109_91_f1600","aff","decl","no","2p","adj","no-infl","k-class",0.5,"1620","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"518","109_91_f1600","aff","decl","hv","1sg","adj","no-infl","other",0.8,"1620","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"521","109_91_f1600","aff","decl","hv","NP","adj","infl","other",0.8,"1620","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"522","109_91_f1600","aff","decl","no","_","no-adj","infl","other",0.8,"1620","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"523","109_91_f1600","aff","decl","hv","pl","adj","no-infl","other",0.8,"1620","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"526","109_91_f1600","aff","decl","be","NP","no-adj","no-infl","other",0.9,"1620","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"527","109_91_f1600","aff","decl","be","pl","adj","no-infl","other",0.1,"1620","MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"534","110_92_f1600","aff","decl","be","conNSR","no-adj","no-infl","other",0.3,"1630","LiliasMurrayofTullibardine,LadyGrant","female","Central","Perthshire","unspecified","unspecified"
"536","110_92_f1600","aff","decl","no","1sg","adj","no-infl","k-class",0.3,"1630","LiliasMurrayofTullibardine,LadyGrant","female","Central","Perthshire","unspecified","unspecified"
"538","110_92_f1600","aff","decl","be","1sg","adj","no-infl","other",0.4,"1630","LiliasMurrayofTullibardine,LadyGrant","female","Central","Perthshire","unspecified","unspecified"
"540","110_92_f1600","aff","decl","no","1sg","adj","no-infl","k-class",0.5,"1630","LiliasMurrayofTullibardine,LadyGrant","female","Central","Perthshire","unspecified","unspecified"
"541","110_92_f1600","aff","decl","no","NP","adj","infl","k-class",0.5,"1630","LiliasMurrayofTullibardine,LadyGrant","female","Central","Perthshire","unspecified","unspecified"
"543","110_92_f1600","aff","decl","be","1sg","adj","no-infl","other",0.5,"1630","LiliasMurrayofTullibardine,LadyGrant","female","Central","Perthshire","unspecified","unspecified"
"544","110_92_f1600","aff","decl","be","1sg","adj","no-infl","other",0.5,"1630","LiliasMurrayofTullibardine,LadyGrant","female","Central","Perthshire","unspecified","unspecified"
"546","110_92_f1600","aff","decl","no","NP","adj","no-infl","other",0.7,"1630","LiliasMurrayofTullibardine,LadyGrant","female","Central","Perthshire","unspecified","unspecified"
"547","110_92_f1600","aff","decl","no","1sg","adj","no-infl","k-class",0.8,"1630","LiliasMurrayofTullibardine,LadyGrant","female","Central","Perthshire","unspecified","unspecified"
"548","110_92_f1600","aff","decl","no","1sg","adj","no-infl","k-class",0.8,"1630","LiliasMurrayofTullibardine,LadyGrant","female","Central","Perthshire","unspecified","unspecified"
"551","110_92_f1600","aff","decl","be","1sg","adj","no-infl","other",0.8,"1630","LiliasMurrayofTullibardine,LadyGrant","female","Central","Perthshire","unspecified","unspecified"
"564","1106_1_m1650","neg","decl","be","3sg","adj","infl","other",0.4,"1666","AlexanderCunningham,10thEarlofGlencairn","male","South-West","Ayrshire","Finlaster","unspecified"
"566","1106_1_m1650","aff","decl","be","NP","adj","infl","other",0.5,"1666","AlexanderCunningham,10thEarlofGlencairn","male","South-West","Ayrshire","Finlaster","unspecified"
